Date,Adj Return Delta 1,CDS Premium,CDS Spread,CDS Premium Change Delta 1,Riskfree,Riskfree_change,Levered_FCF_1_year,Perpetuity_Growth,PER,PBR
2013-07-29,-0.009096955585474138,0.0069375,0.0006710000000000008,0.4300000000000068,0.0003,-0.004184106522573985,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-07-30,-0.008190738443428078,0.006658,0.0006479999999999989,-2.7950000000000017,0.0004,-0.0018652371926804188,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-07-31,-0.01031755639091995,0.0066235,0.0005770000000000004,-0.34499999999999886,0.0004,0.001166180890182394,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-01,-0.006833282402034108,0.006520000000000001,0.0005019999999999996,-1.0349999999999966,0.0004,-0.01526747213078842,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-02,-0.008591767147164654,0.006485500000000001,0.0005030000000000001,-0.34499999999999886,0.0004,0.012700076625542645,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-05,-0.004451229307241202,0.0065344999999999995,0.0010050000000000005,0.4899999999999949,0.0005,-0.003980803758254347,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-06,-0.0035754749579941054,0.0067215,0.0005849999999999995,1.8700000000000045,0.0004,-0.00023465915865038777,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-07,0.0032569462377135864,0.006785500000000001,0.0005010000000000005,0.6400000000000006,0.0005,0.005616677531968195,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-08,-0.0032569462377134797,0.006538500000000001,0.0006590000000000003,-2.469999999999999,0.0005,0.002796552743114976,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-09,0.010181579251475278,0.00673,0.0005019999999999996,1.914999999999992,0.0005,0.0011629260526802563,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-12,-0.004187275803464175,0.0069515,0.001000999999999999,2.2150000000000034,0.0006,-0.0023272060770862563,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-13,-0.013376537134115522,0.006813,0.0005019999999999996,-1.3850000000000051,0.0006,-0.011246604016715298,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-14,-0.008998307704927948,0.0069845,0.0005009999999999991,1.7150000000000034,0.0005,0.0,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-15,-0.019712750340476155,0.007283499999999999,0.0004989999999999994,2.989999999999995,0.0005,-0.004250301557871757,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-16,-0.02976579232002604,0.006950499999999999,0.0008350000000000009,-3.3299999999999983,0.0005,-0.007839451005239355,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-19,-0.014418517215671722,0.007449,0.0005,4.984999999999999,0.0006,-0.005020931050099569,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-20,0.018744891310136416,0.007379999999999999,0.0005,-0.6899999999999977,0.0004,0.007403018884453521,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-21,-0.006737976368392306,0.0078765,0.0008310000000000002,4.965000000000003,0.0004,-0.004052931999171671,346.55321875000004,0.02,45.13571440625,9.0804950625
2013-08-22,0.009680355913990739,0.007771500000000001,0.0006829999999999998,-1.0499999999999972,0.0003,-0.0016736405580296484,346.55321875000004,0.02,45.13571440625,9.0804950625
