Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.223380,0.222222,0.223380,0.063499,0
1962-01-03,0.000000,0.221065,0.219907,0.219907,0.062512,345600
1962-01-04,0.000000,0.221065,0.217593,0.217593,0.061854,216000
1962-01-05,0.000000,0.215856,0.214120,0.214120,0.060867,129600
1962-01-08,0.000000,0.212384,0.210648,0.210648,0.059880,172800
1962-01-09,0.000000,0.212963,0.212963,0.212963,0.060538,43200
1962-01-10,0.000000,0.217593,0.214699,0.217593,0.061854,172800
1962-01-11,0.000000,0.217593,0.216435,0.216435,0.061525,172800
1962-01-12,0.000000,0.217593,0.214120,0.214120,0.060867,259200
1962-01-15,0.000000,0.215856,0.214120,0.214120,0.060867,129600
1962-01-16,0.000000,0.215856,0.212963,0.212963,0.060538,345600
1962-01-17,0.000000,0.215278,0.212963,0.214120,0.060867,259200
1962-01-18,0.000000,0.212963,0.212384,0.212384,0.060373,172800
1962-01-19,0.000000,0.214699,0.213542,0.214699,0.061031,129600
1962-01-22,0.000000,0.212963,0.212384,0.212384,0.060373,172800
1962-01-23,0.000000,0.212963,0.210648,0.210648,0.059880,259200
1962-01-24,0.000000,0.210648,0.209491,0.210069,0.059715,302400
1962-01-25,0.000000,0.210648,0.208912,0.209491,0.059551,129600
1962-01-26,0.000000,0.210648,0.208912,0.208912,0.059386,561600
1962-01-29,0.000000,0.211806,0.209491,0.211806,0.060209,216000
1962-01-30,0.000000,0.214699,0.210648,0.210648,0.059880,734400
1962-01-31,0.000000,0.215278,0.212384,0.215278,0.061196,345600
1962-02-01,0.000000,0.217014,0.214699,0.217014,0.061689,388800
1962-02-02,0.000000,0.228009,0.217593,0.227431,0.064650,2160000
1962-02-05,0.000000,0.240741,0.233796,0.237269,0.067447,1944000
1962-02-06,0.000000,0.248264,0.239583,0.247685,0.070408,2289600
1962-02-07,0.000000,0.259259,0.250000,0.250000,0.071066,3369600
1962-02-08,0.000000,0.253472,0.245949,0.247106,0.070243,1382400
1962-02-09,0.000000,0.247106,0.241898,0.246528,0.070079,777600
1962-02-12,0.000000,0.244213,0.243056,0.244213,0.069421,216000
1962-02-13,0.000000,0.244213,0.241319,0.241898,0.068926,734400
1962-02-14,0.000000,0.240741,0.233796,0.234954,0.066948,1080000
1962-02-15,0.000000,0.234954,0.232639,0.234954,0.066948,302400
1962-02-16,0.000000,0.234954,0.233218,0.233796,0.066618,172800
1962-02-19,0.000000,0.232060,0.232060,0.232060,0.066123,43200
1962-02-20,0.000000,0.229745,0.228009,0.228009,0.064969,86400
1962-02-21,0.000000,0.229167,0.222222,0.222222,0.063320,604800
1962-02-23,0.000000,0.221065,0.219907,0.219907,0.062660,432000
1962-02-26,0.000000,0.224537,0.221065,0.224537,0.063980,259200
1962-02-27,0.000000,0.227431,0.223380,0.227431,0.064804,302400
1962-02-28,0.000000,0.230324,0.224537,0.224537,0.063980,475200
1962-03-01,0.000000,0.226852,0.224537,0.225116,0.064144,259200
1962-03-02,0.000000,0.223958,0.223380,0.223958,0.063815,345600
1962-03-05,0.000000,0.225694,0.224537,0.224537,0.063980,216000
1962-03-06,0.000000,0.227431,0.226273,0.227431,0.064804,86400
1962-03-07,0.000000,0.229167,0.226852,0.228009,0.064969,475200
1962-03-08,0.000000,0.230324,0.229167,0.229167,0.065299,172800
1962-03-09,0.000000,0.228009,0.228009,0.228009,0.064969,43200
1962-03-12,0.000000,0.230903,0.229745,0.230324,0.065628,129600
1962-03-13,0.000000,0.237847,0.231481,0.237847,0.067772,345600
1962-03-14,0.000000,0.244213,0.240741,0.241898,0.068926,864000
1962-03-15,0.000000,0.244792,0.240741,0.243634,0.069421,518400
1962-03-16,0.000000,0.243056,0.237847,0.237847,0.067772,345600
1962-03-19,0.000000,0.238426,0.237269,0.237269,0.067607,86400
1962-03-20,0.000000,0.238426,0.236111,0.237269,0.067607,388800
1962-03-21,0.000000,0.237269,0.236111,0.236111,0.067277,86400
1962-03-22,0.000000,0.235532,0.235532,0.235532,0.067112,129600
1962-03-23,0.000000,0.236111,0.233218,0.233218,0.066453,259200
1962-03-26,0.000000,0.233796,0.230903,0.233796,0.066618,259200
1962-03-27,0.000000,0.232060,0.230324,0.230324,0.065628,86400
1962-03-28,0.000000,0.229167,0.229167,0.229167,0.065299,43200
1962-03-29,0.000000,0.229167,0.229167,0.229167,0.065299,43200
1962-03-30,0.000000,0.230324,0.223958,0.223958,0.063815,432000
1962-04-02,0.000000,0.222801,0.222801,0.222801,0.063485,43200
1962-04-03,0.000000,0.223958,0.222222,0.223958,0.063815,86400
1962-04-04,0.000000,0.223380,0.223380,0.223380,0.063650,172800
1962-04-05,0.000000,0.224537,0.224537,0.224537,0.063980,86400
1962-04-06,0.000000,0.226273,0.222801,0.222801,0.063485,216000
1962-04-09,0.000000,0.222222,0.222222,0.222222,0.063320,86400
1962-04-10,0.000000,0.222512,0.219907,0.219907,0.062660,345600
1962-04-11,0.000000,0.223380,0.221065,0.221065,0.062990,216000
1962-04-12,0.000000,0.218750,0.215278,0.215278,0.061341,302400
1962-04-13,0.000000,0.220486,0.215278,0.219329,0.062496,259200
1962-04-16,0.000000,0.218750,0.218750,0.218750,0.062331,43200
1962-04-17,0.000000,0.218750,0.217593,0.218750,0.062331,0
1962-04-18,0.000000,0.217593,0.217593,0.217593,0.062001,43200
1962-04-19,0.000000,0.218750,0.217593,0.218750,0.062331,172800
1962-04-23,0.000000,0.218171,0.217593,0.218171,0.062166,86400
1962-04-24,0.000000,0.216435,0.215278,0.215278,0.061341,129600
1962-04-25,0.000000,0.216435,0.214699,0.214699,0.061176,388800
1962-04-26,0.000000,0.214120,0.210648,0.210648,0.060022,302400
1962-04-27,0.000000,0.211806,0.207176,0.207176,0.059033,172800
1962-04-30,0.000000,0.208333,0.199074,0.199074,0.056724,432000
1962-05-01,0.000000,0.207176,0.199653,0.207176,0.059033,475200
1962-05-02,0.000000,0.210069,0.207755,0.208912,0.059527,475200
1962-05-03,0.000000,0.210069,0.210069,0.210069,0.059857,129600
1962-05-04,0.000000,0.212384,0.211227,0.212384,0.060517,345600
1962-05-07,0.000000,0.213542,0.211806,0.212963,0.060682,129600
1962-05-08,0.000000,0.214120,0.211227,0.211227,0.060187,259200
1962-05-09,0.000000,0.210069,0.210069,0.210069,0.059857,43200
1962-05-10,0.000000,0.206597,0.203704,0.205440,0.058538,259200
1962-05-11,0.000000,0.206597,0.203704,0.203704,0.058043,259200
